Player,Span,Matches,Innings,NO,Runs,Highest Score,Average,100's,50's,0's
DR Brown (ENG/SCOT),1997-2007,27,25,6,320,50*,16.84,0,1,3
A Mukund (IND),2011-2017,7,14,0,320,81,22.85,0,2,3
DC Thomas (WI),2009-2022,34,29,4,320,37,12.8,0,0,3
DM Bess (ENG),2018-2021,14,19,5,319,57,22.78,0,1,3
JF Crapp (ENG),1948-1949,7,13,2,319,56,29,0,3,1
Irfan Hafejee (PAN),2021-2025,20,19,2,319,41,18.76,0,0,2
HJ Keith (SA),1953-1957,8,16,1,318,73,21.2,0,2,3
N Chopra (IND),1998-2000,40,28,6,317,61,14.4,0,1,1
SR Clark (AUS),2005-2009,72,38,14,317,39,13.2,0,0,6
HP Rinke (ZIM),2006-2006,18,18,0,317,72,17.61,0,3,2
Zaheer Ibrahim (QAT),2019-2021,24,22,5,317,50,18.64,0,1,3
Nasum Ahmed (BAN),2021-2025,69,37,13,316,44,13.16,0,0,5
CPPM Sadun (CYP),2021-2025,21,19,3,315,52*,19.68,0,1,1
KS Lokuarachchi (SL),2003-2012,27,25,4,315,69,15,0,1,3
CE McConchie (NZ),2021-2026,27,20,7,315,64*,24.23,0,1,2
Abhijeet Ahuja (HUN),2021-2023,19,18,1,314,75,18.47,0,2,3
NJ Ferraby (JER),2019-2021,18,18,1,314,81*,18.47,0,1,3
Mohamed Azzam (MDV),2019-2024,43,39,5,314,25,9.23,0,0,5
Osama Mahmood (SUI),2021-2024,15,14,2,314,58*,26.16,0,2,2
B Evans (ZIM),2022-2026,50,35,8,311,43,11.51,0,0,3
J Hardstaff snr (ENG),1907-1908,5,10,0,311,72,31.1,0,3,0
Muhammad Kashif (KUW),2019-2022,21,18,4,311,53,22.21,0,2,1
Y Saranonnakkun (THA),2022-2026,49,42,2,311,25,7.77,0,0,8
G Cook (ENG),1981-1983,13,19,0,309,66,16.26,0,2,1
HJ Howarth (NZ),1969-1977,39,47,20,309,61,11.44,0,1,8
A Kheterpal (HUN),2021-2023,18,18,7,309,42,28.09,0,0,2
HER Tyler (PHI),2019-2025,34,28,1,309,38,11.44,0,0,5
DE Budge (SCOT),2018-2022,25,21,6,308,46*,20.53,0,0,3
TM Chappell (AUS),1980-1983,23,19,1,308,110,17.11,1,0,2
SC Joseph (WI),2000-2007,18,21,1,308,58,15.4,0,1,3
W Voce (ENG),1930-1947,27,38,15,308,66,13.39,0,1,6
M Kasselman (BOT),2023-2025,23,22,4,307,51,17.05,0,1,2
Muhammad Haziq Aiman (MAS),2025-2026,15,14,0,307,113,21.92,1,0,3
AP Devcich (NZ),2013-2016,16,15,0,306,59,20.4,0,2,2
Imran Tahir (SA/World),2011-2019,165,63,28,306,29*,8.74,0,0,8
Q McMillan (SA),1929-1932,13,21,4,306,50*,18,0,1,4
DJ Murray (NZ),1994-1995,9,17,1,306,52,19.12,0,1,3
DM Benkenstein (SA),1998-2002,23,20,3,305,69,17.94,0,1,3
GC Dyer (AUS),1986-1988,29,19,2,305,60,17.94,0,1,2
Thuya Aung (MYAN),2023-2025,32,31,3,305,37,10.89,0,0,3
JS Foster (ENG),2001-2009,23,23,8,304,48,20.26,0,0,1
DM Richards (WI),2009-2010,12,14,0,304,69,21.71,0,3,2
Tayyab Tahir (PAK),2023-2025,19,17,3,304,39*,21.71,0,0,0
S Fouche (NAM),2023-2025,15,13,1,303,83,25.25,0,2,2
AH Jarvis (AUS),1885-1895,11,21,3,303,82,16.83,0,1,1
Muhammad Zohaib (UAE),2025-2026,16,16,1,303,50,20.2,0,1,0
SF Tiai (Samoa),2019-2025,27,22,3,303,45,15.94,0,0,2
HA Varaiya (KENYA),2006-2014,88,50,28,303,34,13.77,0,0,3
DP Samaraweera (SL),1993-1995,12,18,0,302,49,16.77,0,0,1
MK Tiwary (IND),2008-2015,15,13,1,302,104*,25.16,1,1,0
AJ Turner (AUS),2017-2023,28,21,6,302,84*,20.13,0,1,1
S Veerapathiran (BHR),2020-2024,43,34,11,302,33*,13.13,0,0,5
CD Collymore (WI),1999-2007,114,87,44,301,16*,7,0,0,19
H Graham (AUS),1893-1896,6,10,0,301,107,30.1,2,0,2
Saleem Altaf (PAK),1967-1978,27,33,13,301,53*,15.05,0,1,4
SI de Saram (SL),1999-2009,20,18,2,300,39,18.75,0,0,0
PAM Hands (SA),1913-1924,7,12,0,300,83,25,0,2,2
KK Lin Thu (MYAN),2023-2025,32,31,2,300,71,10.34,0,1,5
PE McEwan (NZ),1980-1985,21,22,1,300,41,14.28,0,0,1
G Brown (ENG),1921-1923,7,12,2,299,84,29.9,0,2,2
GB Legge (ENG),1927-1930,5,7,1,299,196,49.83,1,0,2
Mehboob Ali (MLT),2025-2025,11,11,0,299,58,27.18,0,2,1
R Panchal (ESP),2019-2023,22,18,7,299,71*,27.18,0,1,1
G Toka (PNG),2019-2025,24,23,0,299,29,13,0,0,4
Ashraf Ali (PAK),1980-1987,24,17,8,298,65,33.11,0,2,1
EJ Chatfield (NZ),1975-1989,157,102,70,298,21*,9.31,0,0,17
SC Getkate (IRE),2019-2022,34,28,4,298,30,12.41,0,0,1
JNT Seales (WI),2021-2026,64,60,26,298,32,8.76,0,0,13
ACB Langton (SA),1935-1939,15,23,4,298,73*,15.68,0,2,5
A Mitchell (ENG),1933-1936,6,10,0,298,72,29.8,0,2,1
Muhammad Siddiqui (SVN),2022-2025,15,15,0,298,48,19.86,0,0,1
SY Nihute (MWI),2025-2025,20,18,3,298,56,19.86,0,1,1
Idrees Ul Haque (SUI),2021-2025,18,17,0,297,55,17.47,0,1,0
S O'Linn (SA),1960-1961,7,12,1,297,98,27,0,2,0
N Phillip (WI),1978-1979,10,16,5,297,47,27,0,0,2
HMCM Bandara (SL),1998-2010,43,31,8,296,43,12.86,0,0,5
DN Crookes (SA),1994-2000,32,23,3,296,54,14.8,0,1,3
GE Palmer (AUS),1880-1886,17,25,4,296,48,14.09,0,0,3
Atif Rasheed (FIN),2022-2025,19,18,1,295,43,17.35,0,0,2
RS Cunis (NZ),1964-1972,20,31,8,295,51,12.82,0,1,6
DF Whatmore (AUS),1979-1980,8,14,0,295,77,21.07,0,2,1
HN Ya France (NAM),2019-2023,46,31,14,295,52*,17.35,0,1,4
Zawar Farid (UAE),2019-2023,28,24,4,295,55,14.75,0,1,2
GD Drummond (SCOT),2007-2013,47,27,7,294,35*,14.7,0,0,4
Aaftab Alam Khan (MLT),2021-2025,29,27,7,293,71*,14.65,0,1,5
OC Dawson (SA),1947-1949,9,15,1,293,55,20.92,0,1,1
Festus Benn (BHM),2022-2025,28,25,7,293,39*,16.27,0,0,2
Hassan Rasheed (MDV),2019-2024,32,26,1,293,34,11.72,0,0,4
P Mustard (ENG),2007-2008,12,12,0,293,83,24.41,0,1,0
L Amar Singh (IND),1932-1936,7,14,1,292,51,22.46,0,1,1
HB Dickson (COK),2022-2025,14,14,1,292,112*,22.46,1,1,3
Khalid Ahmadi (BEL),2020-2025,43,29,13,292,31*,18.25,0,0,3
KJ Barnett (ENG),1988-1989,5,8,0,291,84,36.37,0,3,1
AO Jones (ENG),1899-1909,12,21,0,291,34,13.85,0,0,2
DR Patankar (MLT),2023-2025,25,22,1,291,54,13.85,0,1,0
CAK Walton (WI),2009-2018,30,29,0,291,40,10.03,0,0,10
Yusuf Ebrahim (PAN),2019-2024,21,21,1,291,72,14.55,0,1,1
SJ Cotter (Samoa),2019-2025,18,18,1,290,51,17.05,0,1,2
AMB Rowan (SA),1947-1951,15,23,6,290,41,17.05,0,0,3
ARA Murray (SA),1952-1954,10,14,1,289,109,22.23,1,1,1
D Norotam (POR),2025-2026,9,9,0,289,84,32.11,0,3,0
DVP Wright (ENG),1938-1951,34,39,13,289,45,11.11,0,0,7
JAR Blain (SCOT),1999-2009,39,28,7,288,41,13.71,0,0,4
J Broad (GER),2022-2022,9,9,2,288,62,41.14,0,3,0
RM Ellison (ENG),1984-1986,25,28,5,288,41,12.52,0,0,1
JR Philippe (AUS),2021-2026,21,19,0,288,45,15.15,0,0,1
KCG Benjamin (WI),1992-1998,52,49,15,287,43*,8.44,0,0,9
KM Curran (ZIM),1983-1987,11,11,0,287,73,26.09,0,2,1
LG Howell (NZ),1998-1998,12,12,0,287,68,23.91,0,4,1
A Venkatesh (SWE),2021-2022,16,16,2,287,54,20.5,0,1,2
CJ Bowes (NZ),2023-2023,17,17,0,286,54,16.82,0,2,1
SKDT Madusanka (SEY),2021-2024,18,16,4,286,50*,23.83,0,1,1
NO Perry (WI),1999-2000,25,23,9,286,52*,20.42,0,1,4
T van der Gugten (NED),2012-2026,65,24,7,286,49,16.82,0,0,2
PT Barton (NZ),1961-1963,7,14,0,285,109,20.35,1,1,1
NW Bracken (AUS),2001-2009,140,47,23,284,37,11.83,0,0,6
Divyendra Singh (CZK-R),2022-2025,23,19,1,284,67*,15.77,0,2,3
LP van Troost (NED),2002-2007,23,20,2,284,40,15.77,0,0,2
Khurram Nawaz (OMA),2017-2022,27,20,6,283,58,20.21,0,1,1
Muhammad Asim (Zamb),2025-2025,10,10,0,282,60,28.2,0,2,2
C Hartmann (IOM),2020-2025,24,23,5,282,39,15.66,0,0,6
N Knights (IOM),2020-2023,18,17,0,282,69,16.58,0,2,4
Naved Latif (PAK),2001-2003,12,13,0,282,113,21.69,1,0,2
L Ngidi (SA),2017-2026,159,80,41,282,20*,7.23,0,0,16
GT Taylor (BHM),2021-2025,25,25,2,282,56*,12.26,0,1,4
AR Whittall (ZIM),1996-2000,73,53,16,282,29,7.62,0,0,7
Abdul-Shakoor Rahimzei (GER),2019-2023,26,21,3,281,59,15.61,0,1,2
Abhishek Ahuja (HUN),2022-2024,17,16,0,281,61,17.56,0,1,4
Anoop Orsu (LUX),2022-2025,26,24,6,281,58*,15.61,0,1,7
ARA Chambers (POR),2021-2024,17,17,1,281,44,17.56,0,0,1
PB Dassanayake (SL),1993-1994,27,27,4,281,36,12.21,0,0,3
Devender Singh (GHA),2021-2026,24,21,9,281,47*,23.41,0,0,1
TN Madondo (ZIM),1998-2001,16,17,2,281,74*,18.73,0,2,3
FT Mann (ENG),1922-1923,5,9,1,281,84,35.12,0,2,0
CAK Rajitha (SL),2016-2024,70,51,17,281,33,8.26,0,0,11
Sufyan Mehmood (OMA),2015-2026,33,23,4,281,72,14.78,0,1,4
PA van Meekeren (NED),2013-2026,117,55,18,281,24,7.59,0,0,11
Yasar Haroon (BRA),2019-2026,24,22,2,281,47,14.05,0,0,2
MC Bird (ENG),1910-1914,10,16,1,280,61,18.66,0,2,2
Aminuddin Ramly (MAS),2019-2021,23,21,4,280,41,16.47,0,0,1
Sayed Monib (KUW),2020-2024,44,30,11,280,32*,14.73,0,0,3
RS Sodhi (IND),2000-2002,18,14,3,280,67,25.45,0,2,0
AR Berenger (QAT/UAE),2014-2021,14,14,0,279,66,19.92,0,2,0
Fanyan Mughal (MLT),2023-2024,24,23,2,279,56,13.28,0,1,2
Gaurav Tiwari (INA),2024-2025,18,17,4,279,56*,21.46,0,1,2
Ijaz Butt (PAK),1959-1962,8,16,2,279,58,19.92,0,1,1
JWH Makepeace (ENG),1920-1921,4,8,0,279,117,34.87,1,2,0
Muhammad Usman (HUN),2025-2025,14,12,2,279,72*,27.9,0,1,1
HK Olonga (ZIM),1995-2003,80,72,25,279,31,5.93,0,0,20
Md Ariyan (ROM),2025-2025,16,13,3,278,90*,27.8,0,2,1
Muslim Yar (GER),2019-2025,50,23,7,278,39,17.37,0,0,2
Sohail Khan (PAK),2008-2017,27,19,4,278,65,18.53,0,1,0
GR Stead (NZ),1999-1999,5,8,0,278,78,34.75,0,2,0
F Suluoto (Samoa),2022-2025,24,22,5,278,44*,16.35,0,0,2
AV Vadher (KENYA),1997-1999,18,16,6,278,73*,27.8,0,2,1
TG Hogan (AUS),1983-1984,23,24,5,277,42*,14.57,0,0,2
Nazar Mohammad (PAK),1952-1952,5,8,1,277,124*,39.57,1,1,1
Rehan Ahmed (ENG),2022-2026,27,26,4,276,28,12.54,0,0,2
IM Barrow (WI),1930-1939,11,19,2,276,105,16.23,1,0,3
PJ Ingram (NZ),2010-2010,13,14,1,276,69,21.23,0,1,1
SW Masakadza (ZIM),2010-2014,28,25,5,276,45*,13.8,0,0,5
B Warnapura (SL),1975-1982,16,20,0,276,77,13.8,0,1,2
IP Butchart (ZIM),1983-1995,21,18,2,275,54,17.18,0,1,2
Ilyas Ataullah (TKY),2022-2025,16,15,2,275,86,21.15,0,1,2
GA Lamb (ZIM),2010-2011,21,20,5,275,39,18.33,0,0,2
HS Baidwan (CAN),2008-2014,49,33,9,274,33,11.41,0,0,7
JA Jameson (ENG),1971-1975,7,11,0,274,82,24.9,0,1,0
S Jyoti (CAN),2006-2010,16,15,2,274,117,21.07,1,0,4
Noman Amjad (Fran),2021-2026,29,26,6,274,27,13.7,0,0,1
Rizwan Butt (BHR),2022-2026,93,45,14,274,34*,8.83,0,0,8
SC van Schalkwyk (USA),2024-2026,31,23,10,274,58,21.07,0,1,2
SR Harmer (SA),2015-2025,14,20,4,273,47,17.06,0,0,0
WA Johnston (AUS),1947-1955,40,49,25,273,29,11.37,0,0,7
A Parima (COK),2022-2025,17,16,2,273,57,19.5,0,1,2
GJ Thompson (ENG),1909-1910,6,10,1,273,63,30.33,0,2,0
Abdul Kadir (PAK),1964-1965,4,8,0,272,95,34,0,2,2
JC Alabaster (NZ),1955-1972,21,34,6,272,34,9.71,0,0,2
DL Maddy (ENG),1998-2007,15,14,0,272,53,19.42,0,2,1
ASA Perera (SL),1998-2001,23,17,3,272,56*,19.42,0,1,1
SLV Raju (IND),1990-2001,81,50,18,272,31,8.5,0,0,7
G Dymock (AUS),1974-1980,36,39,11,271,31*,9.67,0,0,8
Hasan Mahmud (BAN),2020-2025,65,47,20,271,38*,10.03,0,0,8
S Houghton (CRT),2024-2025,17,17,1,271,88,16.93,0,1,3
Mukhtar Ghulami (Fran),2023-2025,21,19,1,271,46,15.05,0,0,3
Omid Mailk Khel (BEL),2022-2025,17,16,3,271,36,20.84,0,0,0
T Rossi (ARG),2021-2026,28,22,5,271,46,15.94,0,0,2
Samiullah Rahmani (SWE),2023-2025,20,16,1,271,50,18.06,0,1,2
Saqib Zulfiqar (NED),2018-2025,27,23,4,271,34*,14.26,0,0,1
VE Tembo (MOZ),2019-2025,31,26,5,271,28*,12.9,0,0,5
J van Heerden (GER),2022-2023,10,9,3,271,53*,45.16,0,1,0
V Zimonjic (SRB),2021-2025,40,27,7,271,34,13.55,0,0,3
P Pushparajan (MLT),2025-2025,11,11,0,270,103,24.54,1,0,1
ADG Roberts (NZ),1976-1976,8,13,1,270,84*,22.5,0,1,2
Hasibul Hossain (BAN),1995-2004,37,36,7,269,31,9.27,0,0,5
WE Midwinter (AUS/ENG),1877-1887,12,21,1,269,37,13.45,0,0,1
P Aho (NGA),2021-2025,62,35,15,268,44*,13.4,0,0,5
JV Chand (Zamb),2025-2025,10,10,2,268,47,33.5,0,0,0
BS Stephenson (Blz),2019-2024,17,16,3,268,69,20.61,0,1,1
MJ Susskind (SA),1924-1924,5,8,0,268,65,33.5,0,4,0
R Abdulkareem (NGA),2021-2025,52,30,10,267,39,13.35,0,0,2
NGRP Jayasuriya (SL),2018-2025,24,36,3,266,28*,8.06,0,0,7
Ritik Tomar (CZK-R),2022-2025,25,23,4,266,38,14,0,0,2
S Shillingford (WI),2010-2014,16,26,6,266,53*,13.3,0,1,7
K Zondo (SA),2018-2023,11,13,2,266,54,24.18,0,1,1
Akhil Anil (TAN),2022-2024,27,23,4,265,52*,13.94,0,1,2
ASF Sirah (PHI),2023-2025,25,19,3,265,58*,16.56,0,1,1
PT Collins (WI),1999-2006,62,59,12,265,24,5.63,0,0,16
BI Dilruksha (SKOR),2024-2025,13,13,0,265,71,20.38,0,1,0
J Edness (BER),2007-2008,14,14,2,265,72,22.08,0,1,2
S Ghimire (POR),2023-2024,12,10,3,265,53*,37.85,0,1,0
Hamid Mahmood (SWE),2022-2025,18,15,5,265,69,26.5,0,2,2
AUKDS Kalugala (CYP),2022-2026,16,16,0,265,49,16.56,0,0,1
A Lyth (ENG),2015-2015,7,13,0,265,107,20.38,1,0,1
Rashid Khan (PAK),1980-1985,33,21,10,265,59,24.09,0,1,1
BS Sandhu (IND),1982-1984,30,18,7,265,71,24.09,0,2,3
MJF Shrimpton (NZ),1963-1974,10,19,0,265,46,13.94,0,0,6
CA Young (IRE),2014-2026,125,60,33,265,40*,9.81,0,0,8
Jordan O'Brien (FIN),2023-2025,20,19,1,264,56*,14.66,0,1,2
NB Mahwire (ZIM),2002-2006,33,36,14,264,50*,12,0,1,4
TBA May (AUS),1987-1995,71,40,20,264,42*,13.2,0,0,3
GA Bartlett (NZ),1961-1968,10,18,1,263,40,15.47,0,0,4
Haris Rauf (PAK),2020-2026,151,56,23,263,35,7.96,0,0,8
AF Milne (NZ),2010-2025,106,43,19,263,36,10.95,0,0,6
Najeeb Tarakai (AFG),2014-2019,13,13,0,263,90,20.23,0,1,1
JA Rennie (ZIM),1993-2000,48,33,13,263,27,13.15,0,0,7
GTS Stevens (ENG),1922-1930,10,17,0,263,69,15.47,0,1,2
V Subramanya (IND),1965-1968,9,15,1,263,75,18.78,0,2,1
HJW Gardiner (SCOT),2013-2015,11,11,0,262,96,23.81,0,2,1
Khizar Hayat (MAS),2020-2025,58,31,11,262,28,13.1,0,0,5
DO Leicher (NAM),2022-2026,23,18,9,262,58,29.11,0,1,1
Muhammad Younis (BHR),2020-2022,14,14,1,262,82*,20.15,0,1,2
PR Santhanakrishnan (MEX),2023-2025,22,19,1,262,44*,14.55,0,0,2
A Turkmen (TKY),2022-2025,16,15,5,262,51*,26.2,0,2,1
RRS Cornwall (WI),2019-2023,10,17,3,261,73,18.64,0,2,1
Waseem Yaqoob (LES),2022-2026,21,20,2,261,50,14.5,0,1,2
Younis Ahmed (PAK),1969-1987,6,9,1,261,62,32.62,0,2,1
KH Abe (JPN),2024-2025,24,21,2,260,80,13.68,0,1,3
AN Connolly (AUS),1963-1971,30,45,20,260,37,10.4,0,0,10
RG Hart (NZ),2002-2003,13,20,3,260,57*,15.29,0,1,5
Yasir Arafat (PAK),2000-2012,27,22,8,260,50*,18.57,0,1,1
DM Lewis (WI),1971-1971,3,5,2,259,88,86.33,0,3,0
A Saud (NEP),2022-2024,14,14,0,259,51,18.5,0,1,2
Adnan Ilyas (OMA),2015-2016,12,11,0,258,54,23.45,0,1,0
Nasrulla Rana (HKG),2019-2025,57,36,15,258,36*,12.28,0,0,5
EC Petrie (NZ),1955-1966,14,25,5,258,55,12.9,0,1,2
L Rossi (ARG),2023-2026,20,17,1,258,55,16.12,0,1,1
Ali Nadeem (CAN),2025-2025,9,9,2,257,89,36.71,0,2,1
K Gore (USA/WI),2019-2025,25,18,3,257,44,17.13,0,0,1
Mohamed Arief (MAS),2019-2023,20,16,3,257,52*,19.76,0,1,0
A Nortje (SA),2019-2026,88,54,16,257,40,6.76,0,0,11
YI Patel (KUW),2022-2026,57,32,15,257,40,15.11,0,0,2
RJ Bailey (ENG),1985-1990,8,12,2,256,43*,25.6,0,0,2
DL Chahar (IND),2018-2023,38,16,8,256,69*,32,0,2,2
Mahmud Jasat (PAN),2021-2024,20,20,1,256,35,13.47,0,0,3
J Selby (ENG),1877-1882,6,12,1,256,70,23.27,0,2,0
JF Smith (SA),2024-2026,14,13,4,256,91,28.44,0,1,1
Kaleemullah (OMA),2017-2024,88,48,17,255,20,8.22,0,0,6
H Kaushik (UAE),2025-2026,21,20,5,255,53,17,0,1,2
Musa Ahmed (NED),2021-2024,15,15,0,255,61,17,0,1,1
Ziaur Rahman (BAN),2012-2014,28,25,3,255,41,11.59,0,0,7
Anil Dalpat (PAK),1984-1986,24,22,4,254,52,14.11,0,1,1
LA Dawson (ENG),2016-2026,45,23,5,254,66*,14.11,0,1,3
Dilawar Hussain (IND),1934-1936,3,6,0,254,59,42.33,0,3,0
W Flowers (ENG),1884-1893,8,14,0,254,56,18.14,0,1,0
HV Hordern (AUS),1911-1912,7,13,2,254,50,23.09,0,1,1
Kashif Siddique (KSA),2022-2024,11,11,0,254,57,23.09,0,2,1
KH Pandya (IND),2018-2021,24,14,7,254,58*,36.28,0,1,0
R Swetman (ENG),1959-1960,11,17,2,254,65,16.93,0,1,2
CM Wright (SCOT),2006-2009,23,19,3,254,37,15.87,0,0,2
ST Gabriel (WI),2012-2023,86,104,43,253,20*,4.14,0,0,27
DJ Gandhi (IND),1999-2000,7,10,1,253,88,28.11,0,2,2
Khalid Ibadulla (PAK),1964-1967,4,8,0,253,166,31.62,1,0,0
A Ratra (IND),2002-2002,18,18,2,253,115*,15.81,1,0,1
EH Bowley (ENG),1929-1930,5,7,0,252,109,36,1,0,0
TB Burtt (NZ),1947-1953,10,15,3,252,42,21,0,0,1
G Coetzee (SA),2023-2026,36,27,3,252,23,10.5,0,0,4
NF Druce (ENG),1897-1898,5,9,0,252,64,28,0,1,0
CM Francois (SA),1922-1923,5,9,1,252,72,31.5,0,1,0
PA McAlister (AUS),1904-1909,8,16,1,252,41,16.8,0,0,0
G Manan (ROM),2019-2025,18,17,0,252,40,14.82,0,0,2
HGO Owen-Smith (SA),1929-1929,5,8,2,252,129,42,1,1,0
P Murungi (UGA),2022-2024,37,25,7,252,31,14,0,0,1
RA Hermann (SA),2025-2026,13,12,1,251,63,22.81,0,1,0
AJL Hill (ENG),1896-1896,3,4,0,251,124,62.75,1,1,0
K Nestor (GIBR),2019-2025,38,29,6,251,35,10.91,0,0,7
J Yadav (IND),2016-2022,8,11,2,251,104,27.88,1,1,0
D Ferreira (SA),2023-2025,19,17,2,250,48,16.66,0,0,1
DP Michael (Samoa),2019-2022,10,10,2,250,63*,31.25,0,3,1
C Overton (ENG),2017-2022,15,19,4,250,41*,16.66,0,0,2
Raza-ur-Rehman (CAN),2012-2014,11,9,0,250,88,27.77,0,3,1
FL Reifer (WI),1997-2009,15,21,0,250,40,11.9,0,0,3
G Geary (ENG),1924-1934,14,20,4,249,66,15.56,0,2,3
KT Kasuza (ZIM),2020-2021,7,12,1,249,63,22.63,0,1,2
MF Kent (AUS),1981-1981,8,11,1,249,54,24.9,0,2,0
HH Massie (AUS),1881-1885,9,16,0,249,55,15.56,0,1,2
SH Venugopal (SGP),2025-2025,13,13,2,249,46*,22.63,0,0,0
AA Navicha (MOZ),2021-2025,33,23,8,248,36,16.53,0,0,3
M Raikes (GIBR),2024-2025,7,7,1,248,85,41.33,0,3,0
RB Reid (NZ),1988-1991,9,9,0,248,64,27.55,0,2,0
AW Roberts (NZ),1930-1937,5,10,1,248,66*,27.55,0,3,0
R Sakurano-Thomas (JPN),2022-2025,38,27,6,248,39,11.8,0,0,3
IT Shillingford (WI),1977-1978,6,9,0,248,120,27.55,1,0,0
KJ Wright (AUS),1979-1979,15,20,5,248,55*,16.53,0,1,2
MS Panesar (ENG),2006-2013,77,77,26,247,26,4.84,0,0,20
MA Suji (KENYA),1996-2006,64,52,22,247,16*,8.23,0,0,9
Taranjit Singh (CYP),2024-2026,17,14,3,247,55,22.45,0,1,1
DK Anefie (GHA),2019-2023,36,28,5,246,46,10.69,0,0,11
Avishka Iroshan (ROM),2025-2025,15,12,1,246,66,22.36,0,1,1
A Nehra (Asia/IND),1999-2017,164,76,32,246,24,5.59,0,0,22
Yves Cyusa (RWN),2024-2025,23,18,3,246,61,16.4,0,1,0
BA Davis (WI),1965-1965,4,8,0,245,68,30.62,0,3,0
ST Doheny (IRE),2023-2025,15,14,0,245,84,17.5,0,1,1
AE Greenidge (WI),1978-1979,7,11,0,245,69,22.27,0,2,2
RB Kenny (IND),1958-1960,5,10,1,245,62,27.22,0,3,2
FA Lowson (ENG),1951-1955,7,13,0,245,68,18.84,0,2,2
DE Malcolm (ENG),1989-1997,50,63,21,245,29,5.83,0,0,17
RK Nunes (WI),1928-1930,4,8,0,245,92,30.62,0,2,1
Qaiser Ali (CAN),2006-2008,17,17,1,244,70,15.25,0,2,3
GR Russ (PHI),2019-2025,27,22,8,244,43*,17.42,0,0,4
GM Strydom (CAY/ZIM),2006-2019,18,16,0,244,58,15.25,0,1,4
CJ Delany (GIBR),2019-2021,13,13,3,243,69*,24.3,0,2,1
S Foster (CAY),2024-2026,24,18,4,243,41,17.35,0,0,1
R Gaznavi (SGP),2019-2025,25,23,3,243,44*,12.15,0,0,3
Iftikhar Anjum (PAK),2004-2010,65,35,20,243,32,16.2,0,0,4
MP Maynard (ENG),1988-2000,18,20,1,243,41,12.78,0,0,3
JB Mortimore (ENG),1959-1964,9,12,2,243,73*,24.3,0,1,1
Shafiq Sharif (MAS),2019-2021,13,13,1,243,53,20.25,0,1,3
JW Trumble (AUS),1885-1886,7,13,1,243,59,20.25,0,1,1
Ali Naqvi (PAK),1997-1998,5,9,1,242,115,30.25,1,0,0
SF Barnes (ENG),1901-1914,27,39,9,242,38*,8.06,0,0,8
CD Gopinath (IND),1951-1960,8,12,1,242,50*,22,0,1,4
James Langridge (ENG),1933-1946,8,9,0,242,70,26.88,0,1,0
Sulaiman Ali (BUL),2020-2022,21,19,1,242,40,13.44,0,0,1
Usman Limbada (CAN),2010-2014,18,14,3,242,50,22,0,1,1
C Wright (CAY),2019-2026,44,28,11,242,50,14.23,0,1,7
MJ Di Venuto (AUS),1997-1997,9,9,0,241,89,26.77,0,2,0
Izaz Ali (SVN),2024-2025,16,16,0,241,118,15.06,1,0,4
H Jangariya (SWZ),2023-2026,12,11,1,241,54,24.1,0,1,0
JE Mills (NZ),1930-1933,7,10,1,241,117,26.77,1,0,2
J Miyagi (UGA),2022-2025,42,28,5,241,29,10.47,0,0,5
AN Ranasinghe (SL),1975-1982,11,12,1,241,77,21.9,0,2,3
T Whiteman (LUX),2019-2021,14,12,5,241,55*,34.42,0,1,1
R Clarke (ENG),2003-2006,22,16,0,240,55,15,0,1,2
A Halbhavi (LUX),2021-2025,20,20,0,240,48,12,0,0,6
Y Jalloh (SLE),2023-2025,19,18,1,240,72,14.11,0,2,4
JC Tredwell (ENG),2010-2015,64,33,14,240,37,12.63,0,0,4
Ali Saleem (NOR),2022-2024,21,16,1,239,53*,15.93,0,1,0
C Bannerman (AUS),1877-1879,3,6,2,239,165*,59.75,1,0,0
KA Hope (WI),2017-2017,12,15,0,239,46,15.93,0,0,2
B Mavuta (ZIM),2018-2024,32,28,8,239,56,11.95,0,1,5
H Rashid (SWZ),2022-2025,20,20,3,239,38,14.05,0,0,2
RML Taylor (SCOT),2013-2016,24,20,6,239,46*,17.07,0,0,1
JC White (ENG),1921-1931,15,22,9,239,29,18.38,0,0,1
Abrar Bilal (AUT),2019-2024,19,15,4,238,37,21.63,0,0,1
KNA Bandara (SL),2021-2023,12,10,2,238,55*,29.75,0,2,0
WJ Cope (LUX),2020-2024,33,30,7,238,49,10.34,0,0,6
PF Gallagher (FIN),2019-2023,22,22,3,238,36,12.52,0,0,5
MM Iqbal (SCOT),2009-2014,19,15,4,238,63,21.63,0,1,2
Junaid Siddique (UAE),2019-2026,153,77,36,238,18,5.8,0,0,16
N Khanna (MLT),2019-2023,24,24,7,238,37*,14,0,0,2
JE Morris (ENG),1990-1991,11,13,3,238,63*,23.8,0,1,0
Saghar Manzoor (CRT),2024-2025,17,17,2,238,38,15.86,0,0,2
AJ Tudor (ENG),1998-2002,13,18,5,238,99*,18.3,0,1,2
JDF Vandersay (SL),2015-2026,51,32,13,238,53,12.52,0,1,2
SL Boock (NZ),1978-1989,44,48,12,237,37,6.58,0,0,11
AW Carr (ENG),1922-1929,11,13,1,237,63,19.75,0,1,0
K Dasan (BUL),2019-2020,10,9,1,237,74,29.62,0,1,0
Irfan Khan (PAK),2024-2025,23,17,4,237,37*,18.23,0,0,2
MSK Prasad (IND),1998-2000,23,21,3,237,63,13.16,0,1,2
